time,header_stamp_secs,header_stamp_nsecs,header_frame_id,status_status,status_service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
2026/02/13 16:08:18.554358897,146,300000000,gnss_link,1,1,55.86727968099973,37.69101056433176,150.2069871146232,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:18.745322793,146,400000000,gnss_link,1,1,55.867279585917565,37.69100897706717,150.2070933561772,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:18.953762379,146,500000000,gnss_link,1,1,55.86727949077528,37.69100738964553,150.20688785705715,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:19.155950257,146,600000000,gnss_link,1,1,55.86727939625877,37.6910058020725,150.20703948382288,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:19.356940398,146,700000000,gnss_link,1,1,55.86727930066681,37.69100421484178,150.2071006996557,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:19.562439161,146,800000000,gnss_link,1,1,55.86727920596669,37.691002627381614,150.20695511065423,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:19.771123337,146,900000000,gnss_link,1,1,55.867279110308374,37.691001039984904,150.20706368982792,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:19.976628791,147,0,gnss_link,1,1,55.86727901544758,37.69099945257171,150.20711113419384,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:20.189727640,147,100000000,gnss_link,1,1,55.86727892072314,37.69099786505613,150.20706001855433,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:20.392042371,147,200000000,gnss_link,1,1,55.8672788248128,37.69099627781894,150.20695933979005,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:20.602945468,147,300000000,gnss_link,1,1,55.86727873020573,37.69099469021805,150.20708067063242,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:20.820923365,147,400000000,gnss_link,1,1,55.86727863557359,37.69099310274222,150.2070705089718,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:21.32279014,147,500000000,gnss_link,1,1,55.86727854009623,37.69099151544186,150.2068967409432,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
